longitude,latitude,altitude,distance_from_boundarycentre
73.56795,18.864769,-35.8,3572.1
73.56795,18.864758,-35.92,3573.1
73.56794,18.864748,-36.05,3573.6
73.56794,18.864737,-36.21,3574.6
73.567924,18.864727,-36.07,3574.6
73.56792,18.86472,-36.0,3574.9
73.56791,18.864712,-35.93,3575.1
73.567894,18.864708,-35.7,3574.6
73.56788,18.864706,-35.56,3573.9
73.56786,18.864706,-35.57,3573.0
73.56785,18.864712,-35.8,3571.6
73.56783,18.864717,-36.27,3570.1
73.567825,18.864727,-36.56,3568.8
73.56781,18.86474,-36.8,3566.7
73.5678,18.864756,-36.95,3564.8
73.567795,18.864773,-37.23,3562.8
73.56779,18.864792,-37.44,3560.6
73.56778,18.864813,-37.73,3558.2
73.56778,18.864832,-37.75,3556.4
73.56778,18.864855,-37.64,3554.3
73.56778,18.864876,-37.34,3552.4
73.56778,18.864899,-36.85,3550.3
73.56779,18.864922,-36.21,3548.6
73.567795,18.864944,-35.72,3546.9
73.567795,18.864967,-35.58,3544.8
73.5678,18.864992,-35.42,3543.0
73.56781,18.865019,-35.4,3541.0
73.56782,18.865044,-35.56,3539.1
73.567825,18.86507,-35.9,3537.1
73.567825,18.865095,-36.22,3534.8
73.56783,18.865122,-35.89,3532.8
73.56784,18.865147,-35.52,3531.0
73.56784,18.865173,-35.67,3528.5
73.56785,18.865198,-35.8,3526.7
73.567856,18.865223,-32.52,3524.9
73.567856,18.86525,-29.15,3522.4
73.56786,18.865274,-28.7,3520.6
73.56787,18.865301,-28.3,3518.6
73.56788,18.865328,-28.03,3516.6
73.56788,18.865353,-27.85,3514.3
73.56789,18.86538,-27.86,3512.3
73.567894,18.865404,-27.87,3510.5
73.5679,18.86543,-27.87,3508.5
73.56791,18.865456,-27.92,3506.7
73.56792,18.865482,-30.94,3504.7
73.56792,18.865509,-33.94,3502.3
73.567924,18.865534,-34.14,3500.4
73.56793,18.86556,-34.33,3498.5
73.56794,18.865585,-34.2,3496.7
73.56795,18.865612,-33.99,3494.7
73.567955,18.865639,-34.2,3492.7
73.567955,18.865664,-34.43,3490.4
73.56796,18.86569,-34.45,3488.4
73.56797,18.865715,-34.3,3486.6
73.56798,18.865742,-34.48,3484.7
73.56798,18.865767,-34.64,3482.4
73.567986,18.865793,-34.56,3480.4
73.56799,18.865818,-34.27,3478.6
73.568,18.865845,-34.17,3476.7
73.56801,18.865871,-34.07,3474.7
73.568016,18.865898,-33.94,3472.7
73.56802,18.865925,-33.74,3470.8
73.56803,18.865952,-33.52,3468.8
73.56804,18.865978,-33.24,3466.9
73.56804,18.866005,-32.99,3464.4
73.56805,18.866032,-32.74,3462.5
73.568054,18.86606,-32.5,3460.3
73.56806,18.866089,-32.28,3458.2
73.56807,18.866116,-32.04,3456.3
73.56808,18.866142,-31.77,3454.3
73.568085,18.86617,-31.5,3452.2
73.56809,18.866198,-31.27,3450.2
73.56809,18.866224,-31.04,3447.8
73.5681,18.866253,-30.88,3445.7
73.56811,18.866282,-30.71,3443.6
73.568115,18.866308,-30.52,3441.6
73.56812,18.866337,-30.33,3439.5
73.56813,18.866364,-30.15,3437.6
73.56813,18.866392,-30.01,3435.0
73.56814,18.86642,-29.9,3432.9
73.568146,18.866451,-29.85,3430.6
73.56815,18.86648,-29.87,3428.5
73.56816,18.866508,-29.92,3426.4
73.56816,18.866537,-30.03,3423.9
73.56817,18.866566,-30.2,3421.8
73.56817,18.866594,-30.42,3419.2
73.56818,18.866623,-30.65,3417.1
73.56818,18.866652,-30.96,3414.5
73.56818,18.866682,-31.22,3411.8
73.56818,18.86671,-31.46,3409.2
73.568184,18.86674,-31.63,3407.1
73.568184,18.866768,-31.77,3404.6
73.56819,18.866796,-31.84,3402.5
73.56819,18.866825,-31.86,3399.9
73.5682,18.866854,-31.82,3397.8
73.5682,18.866882,-31.74,3395.3
73.56821,18.86691,-31.67,3393.2
73.56821,18.86694,-31.55,3390.6
73.568214,18.866968,-31.45,3388.6
73.56822,18.866997,-31.38,3386.5
73.56823,18.867025,-31.31,3384.4
73.56823,18.867054,-31.21,3381.9
73.56824,18.867083,-31.14,3379.8
73.568245,18.86711,-31.05,3377.9
73.568245,18.86714,-31.42,3375.2
73.56825,18.867168,-32.11,3373.1
73.56826,18.867197,-33.0,3371.1
73.56826,18.867226,-34.19,3368.5
73.56827,18.867254,-35.41,3366.5
73.568275,18.867285,-36.59,3364.2
73.568275,18.867315,-37.77,3361.5
73.56828,18.867346,-38.95,3359.3
73.56829,18.867376,-40.12,3357.1
73.56829,18.867405,-41.3,3354.6
73.5683,18.867434,-41.98,3352.5
73.5683,18.867462,-42.32,3350.0
73.568306,18.867493,-42.44,3347.8
73.568306,18.867523,-42.22,3345.1
73.56831,18.867552,-41.91,3343.0
73.56831,18.86758,-41.59,3340.5
73.56832,18.867609,-41.25,3338.5
73.56832,18.867638,-40.9,3335.9
73.56833,18.867666,-40.48,3333.9
73.56834,18.867695,-40.08,3331.9
73.56834,18.867722,-39.68,3329.5
73.568344,18.86775,-39.26,3327.5
